instances,avg,std,min
C1000.9,3,0,3
C125.9,2,0,2
C2000.5,8.333333333333334,0.47946330148538413,8
C2000.9,3,0,3
C250.9,2,0,2
C4000.5,9.2,0.4842341981115023,8
C500.9,2,0,2
DSJC1000.5,8,0,8
DSJC500.5,6.333333333333333,0.47946330148538413,6
MANN_a27,2,0,2
MANN_a45,2,0,2
MANN_a81,2,0,2
MANN_a9,2,0,2
brock200_2,5,0,5
brock200_4,4.666666666666667,0.47946330148538413,4
brock400_2,4,0,4
brock400_4,4,0,4
brock800_2,6,0,6
brock800_4,5.566666666666666,0.5040069329937309,5
c-fat200-1,14.533333333333333,0.5713464637233658,14
c-fat200-2,7.333333333333333,0.47946330148538413,7
c-fat200-5,3,0,3
c-fat500-1,31.9,1.0938700673013826,30
c-fat500-2,15.6,1.0372377109252813,14
c-fat500-5,6.166666666666667,0.3790490217894517,6
frb100-40,5,0,5
frb30-15-1,4,0,4
frb30-15-2,3,0,3
frb30-15-3,4,0,4
frb30-15-4,3,0,3
frb30-15-5,4.5,0.5085476277156078,4
frb35-17-1,4,0,4
frb35-17-2,4.8,0.4068381021724862,4
frb35-17-3,3,0,3
frb35-17-4,4,0,4
frb35-17-5,5,0,5
frb40-19-1,4,0,4
frb40-19-2,4.266666666666667,0.4497764451088036,4
frb40-19-3,5,0,5
frb40-19-4,3.8666666666666667,1.0080138659874618,3
frb40-19-5,5,1.0170952554312156,4
frb45-21-1,4,0,4
frb45-21-2,8,0,8
frb45-21-3,4.166666666666667,0.8339078479367937,3
frb45-21-4,3.3333333333333335,0.47946330148538413,3
frb45-21-5,4,0,4
frb50-23-1,7,0,7
frb50-23-2,5.066666666666666,0.9444331755018487,4
frb50-23-3,4.066666666666666,0.7396799556440672,3
frb50-23-4,4.3,0.466091599699399,4
frb50-23-5,3,0,3
frb53-24-1,4,0,4
frb53-24-2,4,0,4
frb53-24-3,4.5,0.5085476277156078,4
frb53-24-4,3.5,0.8610338613230188,3
frb53-24-5,4,0,4
frb56-25-1,3.5,0.5085476277156078,3
frb56-25-2,5,0,5
frb56-25-3,4.6,0.4982728791224398,4
frb56-25-4,4.466666666666667,0.50741626340492485,4
frb56-25-5,4,0,4
frb59-26-1,4,0,4
frb59-26-2,4,0,4
frb59-26-3,4,0,4
frb59-26-4,5,0,5
frb59-26-5,4,0,4
gen200_p0.9_44,2,0,2
gen200_p0.9_55,2,0,2
gen400_p0.9_55,2,0,2
gen400_p0.9_65,2,0,2
gen400_p0.9_75,2,0,2
hamming10-4,8,0,8
hamming6-2,2,0,2
hamming6-4,8,0,8
hamming8-2,2,0,2
hamming8-4,8,0,8
johnson16-2-4,3,0,3
johnson32-2-4,3,0,3
johnson8-2-4,3,0,3
johnson8-4-4,5,0,5
keller4,4,0,4
keller5,4,0,4
keller6,4,0,4
p_hat1500-1,19.866666666666667,1.0080138659874618,19
p_hat1500-2,11.9,0.9228890171255884,11
p_hat1500-3,4.5,0.5085476277156078,4
p_hat300-1,14.8,0.4068381021724862,14
p_hat300-2,9.833333333333334,0.3790490217894517,9
p_hat300-3,4,0,4
p_hat700-1,16.966666666666665,2.3412836640190138,15
p_hat700-2,13,0,13
p_hat700-3,4,0,4
san1000,25.633333333333333,0.9643054793328016,23
san200_0.7_1,3.566666666666667,0.5683207771559354,3
san200_0.7_2,4,0,4
san200_0.9_1,2,0,2
san200_0.9_2,2,0,2
san200_0.9_3,2,0,2
san400_0.5_1,13.833333333333334,0.8339078479367937,13
san400_0.7_1,4,0,4
san400_0.7_2,4,0,4
san400_0.7_3,5.5,0.5085476277156078,5
