instances,mean,std
C1000-9,1.3936968008677166,0.15202655915797866
C125-9,0.05948441823323567,0.057224193898788155
C2000-5,3.1812733809153237,0.3306742503208702
C2000-9,5.2822670618693035,0.27418186955547874
C250-9,0.15664007663726812,0.09650110384128244
C4000-5,12.556618388493852,1.2183910857947462
C500-9,0.38600596586863195,0.033690338073996316
DSJC1000-5,0.8446588198343912,0.08682918765755998
DSJC500-5,0.26369086901346855,0.04811084901116954
MANN-a27,0.3071331898371378,0.08046791540404687
MANN-a45,1.6555484056472778,0.2895195948555414
MANN-a81,17.0216425259908,1.8524246262269355
MANN-a9,0.021470006306966147,0.008942040766820446
brock200-2,0.06848842302958172,0.05620805845401509
brock200-4,0.09448991616566978,0.0850187769260275
brock400-2,0.24591263135274258,0.05645077283194072
brock400-4,0.2464800437291463,0.037760832929619646
brock800-2,0.6825034856796265,0.058097913140051416
brock800-4,0.7352694034576415,0.11592308185944324
c-fat200-1,0.043173329035441084,0.026311260052130872
c-fat200-2,0.04282764593760173,0.042145646156171515
c-fat200-5,0.08573361237843831,0.08197281849748235
c-fat500-1,0.06943996747334799,0.03986532695307813
c-fat500-2,0.07778746287027996,0.030810513638439736
c-fat500-5,0.13492322762807207,0.08061922992060501
frb100-40,22.7147355000178,2.0975370244306717
frb30-15-1,0.34720690250396724,0.09753557171349628
frb30-15-2,0.3255817413330077,0.061361032273905367
frb30-15-3,0.36866094271341976,0.15234313975537309
frb30-15-4,0.329708751042684,0.056275395884612577
frb30-15-5,0.317835283279419,0.04441023428734725
frb35-17-1,0.5272178014119466,0.0741216076356812
frb35-17-2,0.5344533205032349,0.09400934806267973
frb35-17-3,0.5227722724278768,0.08519561675002695
frb35-17-4,0.506376592318217,0.05323174172068368
frb35-17-5,0.5192950487136841,0.07652743692932662
frb40-19-1,0.8238764444986977,0.09241223175527924
frb40-19-2,0.8247016588846843,0.09707951713380662
frb40-19-3,0.8363862991333009,0.11081628429412593
frb40-19-4,0.8150390227635699,0.08896885727818213
frb40-19-5,0.8068486293156942,0.07479639068467725
frb45-21-1,1.2201643784840897,0.11220008883953447
frb45-21-2,1.2380047162373857,0.18570571034455724
frb45-21-3,1.280621600151063,0.1642252879271202
frb45-21-4,1.25964895884196,0.16777141658730577
frb45-21-5,1.2042771657307934,0.10517175635495994
frb50-23-1,1.787468028068542,0.13022192729693718
frb50-23-2,1.8561308463414516,0.19696497703707416
frb50-23-3,1.8236278295516963,0.1725414234489109
frb50-23-4,1.7863250255584726,0.14445466777357646
frb50-23-5,1.7948612689971932,0.14175611871738444
frb53-24-1,2.236507153511048,0.22958107555837134
frb53-24-2,2.2518241643905634,0.23467841993414668
frb53-24-3,2.234723393122355,0.21667203757696488
frb53-24-4,2.1880915323893233,0.19785329714316036
frb53-24-5,2.25734175046285,0.263129836404467
frb59-26-1,3.2232096433639525,0.3124745682863744
frb59-26-2,3.257280206680299,0.2828321194331366
frb59-26-3,3.2762439648310346,0.43904409849982046
frb59-26-4,3.208150402704874,0.30014513513232466
frb59-26-5,3.3844874382019046,0.47196540795994413
gen200-p0-9-44,0.09115912119547524,0.03170175942969272
gen200-p0-9-55,0.13566688696543372,0.08748015826102658
gen400-p0-9-55,0.29772728284200034,0.06267987978042368
gen400-p0-9-65,0.3015082359313964,0.07976198771663898
gen400-p0-9-75,0.271604824066162,0.01858340380310439
hamming10-4,1.3693971157073976,0.11303395255363417
hamming6-2,0.024718777338663733,0.010166929655389774
hamming6-4,0.024121586481730142,0.004674454207059456
hamming8-2,0.1492349863052368,0.06397768215860959
hamming8-4,0.11631368001302078,0.06087995165331085
johnson16-2-4,0.07723818620045976,0.0847638695047876
johnson32-2-4,0.4043356974919637,0.0581493194093386
johnson8-2-4,0.028542145093282074,0.050682006316997034
johnson8-4-4,0.026909319559733066,0.012992628186673367
keller4,0.06533439954121904,0.03636185898519854
keller5,0.7343669096628824,0.053705801211784185
keller6,14.042447145779926,1.4281515264783133
p-hat1500-1,0.9384173075358073,0.10619680596395718
p-hat1500-2,1.858728345235189,0.20683004323672408
p-hat1500-3,2.724037996927897,0.35216930954709763
p-hat300-1,0.0893226623535156,0.09509611276729425
p-hat300-2,0.11851312319437667,0.05645205339801527
p-hat300-3,0.15306008656819656,0.05912478315997197
p-hat700-1,0.27617047627766933,0.060855692442403395
p-hat700-2,0.4493466218312582,0.07099740866840412
p-hat700-3,0.6141120672225951,0.0868060261645236
san1000,0.8464097261428833,0.10698851960440774
san200-0-7-1,0.08411051432291669,0.053728742550176706
san200-0-7-2,0.08843677043914794,0.05572084085403024
san200-0-9-1,0.09824758370717367,0.04098617917215362
san200-0-9-2,0.0914611180623372,0.04025393817905791
san200-0-9-3,0.12197109858194989,0.08097982545368397
san400-0-5-1,0.1723789930343628,0.026047346655565268
san400-0-7-1,0.23778837521870944,0.07180160905160693
san400-0-7-2,0.22590934435526527,0.0476556532288689
san400-0-7-3,0.2314035097757975,0.043714810748039325
